step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
56,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
57,rest,,,,,,,1800.0,,,,,,
58,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
59,rest,,,,,,,1800.0,,,,,,
60,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
61,rest,,,,,,,1800.0,,,,,,
62,loop,,,,,,,,,,,50,1,
63,cycle,,QPEED 7.5C marker,,,,,,,,,,,
64,charge,CC,QPEED 7.5C charge,7.5,180.0,4.3,4.2,57600.0,,1.0,,,,7
65,rest,,,,,,,1.0,,,,,,
66,rest,,,,,,,1800.0,,,,,,
67,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
68,rest,,,,,,,1800.0,,,,,,
69,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
70,rest,,,,,,,1800.0,,,,,,
71,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
72,rest,,,,,,,1800.0,,,,,,
73,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
74,rest,,,,,,,1800.0,,,,,,
75,loop,,,,,,,,,,,63,1,
76,cycle,,QPEED 9C marker,,,,,,,,,,,
77,charge,CC,QPEED 9C charge,9.0,216.0,4.3,4.2,57600.0,,1.0,,,,7
78,rest,,,,,,,1.0,,,,,,
79,rest,,,,,,,1800.0,,,,,,
80,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
81,rest,,,,,,,1800.0,,,,,,
82,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
83,rest,,,,,,,1800.0,,,,,,
84,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
85,rest,,,,,,,1800.0,,,,,,
86,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
87,rest,,,,,,,1800.0,,,,,,
88,loop,,,,,,,,,,,76,1,
89,cycle,,QPEED 10.5C marker,,,,,,,,,,,
90,charge,CC,QPEED 10.5C charge,10.5,252.0,4.3,4.2,57600.0,,1.0,,,,7
91,rest,,,,,,,1.0,,,,,,
92,rest,,,,,,,1800.0,,,,,,
93,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
94,rest,,,,,,,1800.0,,,,,,
95,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
96,rest,,,,,,,1800.0,,,,,,
97,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
98,rest,,,,,,,1800.0,,,,,,
99,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
100,rest,,,,,,,1800.0,,,,,,
101,loop,,,,,,,,,,,89,1,
102,cycle,,QPEED 12C marker,,,,,,,,,,,
103,charge,CC,QPEED 12C charge,12.0,288.0,4.3,4.2,57600.0,,1.0,,,,7
104,rest,,,,,,,1.0,,,,,,
105,rest,,,,,,,1800.0,,,,,,
106,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
107,rest,,,,,,,1800.0,,,,,,
108,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
109,rest,,,,,,,1800.0,,,,,,
110,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
111,rest,,,,,,,1800.0,,,,,,
112,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
113,rest,,,,,,,1800.0,,,,,,
114,loop,,,,,,,,,,,102,1,
115,cycle,,QPEED 13.5C marker,,,,,,,,,,,
116,charge,CC,QPEED 13.5C charge,13.5,324.0,4.3,4.2,57600.0,,1.0,,,,7
117,rest,,,,,,,1.0,,,,,,
118,rest,,,,,,,1800.0,,,,,,
119,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
120,rest,,,,,,,1800.0,,,,,,
121,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
122,rest,,,,,,,1800.0,,,,,,
123,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
124,rest,,,,,,,1800.0,,,,,,
125,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
126,rest,,,,,,,1800.0,,,,,,
127,loop,,,,,,,,,,,115,1,
128,cycle,,QPEED 15C marker,,,,,,,,,,,
129,charge,CC,QPEED 15C charge,15.0,360.0,4.3,4.2,57600.0,,1.0,,,,7
130,rest,,,,,,,1.0,,,,,,
131,rest,,,,,,,1800.0,,,,,,
132,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
133,rest,,,,,,,1800.0,,,,,,
134,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
135,rest,,,,,,,1800.0,,,,,,
136,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
137,rest,,,,,,,1800.0,,,,,,
138,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
139,rest,,,,,,,1800.0,,,,,,
140,loop,,,,,,,,,,,128,1,
141,cycle,,QPEED 16.5C marker,,,,,,,,,,,
142,charge,CC,QPEED 16.5C charge,16.5,396.0,4.3,4.2,57600.0,,1.0,,,,7
143,rest,,,,,,,1.0,,,,,,
144,rest,,,,,,,1800.0,,,,,,
145,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
146,rest,,,,,,,1800.0,,,,,,
147,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
148,rest,,,,,,,1800.0,,,,,,
149,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
150,rest,,,,,,,1800.0,,,,,,
151,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
152,rest,,,,,,,1800.0,,,,,,
153,loop,,,,,,,,,,,141,1,
154,cycle,,QPEED 18C marker,,,,,,,,,,,
155,charge,CC,QPEED 18C charge,18.0,432.0,4.3,4.2,57600.0,,1.0,,,,7
156,rest,,,,,,,1.0,,,,,,
157,rest,,,,,,,1800.0,,,,,,
158,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
159,rest,,,,,,,1800.0,,,,,,
160,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
161,rest,,,,,,,1800.0,,,,,,
162,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
163,rest,,,,,,,1800.0,,,,,,
164,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
165,rest,,,,,,,1800.0,,,,,,
166,loop,,,,,,,,,,,154,1,
167,end,,schedule end,,,,,,,,,,,
